sequence,track,clip,asset,start_frame,end_frame,source_in_frame,source_out_frame,start_ticks,end_ticks,source_in_ticks,source_out_ticks
livestream,V1,1,260908.mp4,0,82184,0,82184,0,695867668948072,0,695867668948072
livestream,A1,1,260908.mp4,0,82184,0,82184,0,695867668948072,0,695867668948072
video,V1,1,260908.mp4,0,80,72340,72420,0,677375322640,612516635497220,613194010819860
video,V1,2,260908.mp4,80,449,72435,72804,677375322640,3801768998317,613321018692855,616445412368532
video,V1,3,260908.mp4,449,952,61374,61877,3801768998317,8060766339416,519665413146342,523924410487441
video,V1,4,260908.mp4,952,1044,61889,61981,8060766339416,8839747960452,524026016785837,524804998406873
video,V1,5,260908.mp4,1044,1080,61993,62029,8839747960452,9144566855640,524906604705269,525211423600457
video,V1,6,260908.mp4,1080,1101,62094,62115,9144566855640,9322377877833,525761791050102,525939602072295
video,V1,7,260908.mp4,1101,1133,62127,62159,9322377877833,9593328006889,526041208370691,526312158499747
video,V1,8,260908.mp4,1133,1335,62176,62378,9593328006889,11303700696555,526456100755808,528166473445474
video,V1,9,260908.mp4,1335,1362,62392,62419,11303700696555,11532314867946,528285014126936,528513628298327
video,V1,10,260908.mp4,1362,1522,62440,62600,11532314867946,12887065513226,528691439320520,530046189965800
video,V1,11,260908.mp4,1522,2113,62618,63209,12887065513226,17891175709229,530198599413394,535202709609397
video,V1,12,260908.mp4,2113,2522,63221,63630,17891175709229,21354257046226,535304315907793,538767397244790
video,V1,13,260908.mp4,2522,2626,63654,63758,21354257046226,22234844965658,538970609841582,539851197761014
video,V1,14,260908.mp4,2626,2649,63793,63816,22234844965658,22429590370917,540147549464669,540342294869928
video,V1,15,260908.mp4,2649,2679,63832,63862,22429590370917,22683606116907,540477769934456,540731785680446
video,V1,16,260908.mp4,2679,2938,63875,64134,22683606116907,24876608723954,540841859170375,543034861777422
video,V1,17,260908.mp4,2938,3116,64174,64352,24876608723954,26383768816828,543373549438742,544880709531616
video,V1,18,260908.mp4,3116,3202,64369,64455,26383768816828,27111947288666,545024651787677,545752830259515
video,V1,19,260908.mp4,3202,3660,64468,64926,27111947288666,30989921010780,545862903749444,549740877471558
video,V1,20,260908.mp4,3660,3690,29040,29070,30989921010780,31243936756770,245887242118320,246141257864310
video,V1,21,260908.mp4,3690,4063,29102,29475,31243936756770,34402199198579,246412207993366,249570470435175
video,V1,22,260908.mp4,4063,4154,29507,29598,34402199198579,35172713628082,249841420564231,250611934993734
video,V1,23,260908.mp4,4154,4554,29611,30011,35172713628082,38559590241282,250722008483663,254108885096863
video,V1,24,260908.mp4,4554,4774,30031,30251,38559590241282,40422372378542,254278228927523,256141011064783
video,V1,25,260908.mp4,4774,4839,30278,30343,40422372378542,40972739828187,256369625236174,256919992685819
video,V1,26,260908.mp4,4839,4946,30359,30466,40972739828187,41878729322218,257055467750347,257961457244378
